graph,order,size,time,iterations,error,technique
"min-1DeadEnd","5","6","0.722","17","0","pagerankNvgraph"
"min-1DeadEnd","5","6","0.783","17","0","pagerankCudaL1Norm"
"min-1DeadEnd","5","6","0","17","0","pagerankSeqL1Norm"
"min-1DeadEnd","5","6","0.708","17","0","pagerankCudaL2Norm"
"min-1DeadEnd","5","6","0","17","0","pagerankSeqL2Norm"
"min-1DeadEnd","5","6","0.717","17","0","pagerankCudaLiNorm"
"min-1DeadEnd","5","6","0.713","17","0","pagerankSeqLiNorm"
"min-2SCC","8","12","1.666","40","0","pagerankNvgraph"
"min-2SCC","8","12","1.66","40","0","pagerankCudaL1Norm"
"min-2SCC","8","12","0.002","40","0","pagerankSeqL1Norm"
"min-2SCC","8","12","1.6","38","0.0000014603","pagerankCudaL2Norm"
"min-2SCC","8","12","0.002","38","0.0000014454","pagerankSeqL2Norm"
"min-2SCC","8","12","1.539","37","0.0000011474","pagerankCudaLiNorm"
"min-2SCC","8","12","1.558","37","0.0000011474","pagerankSeqLiNorm"
"min-4SCC","21","35","1.876","45","0","pagerankNvgraph"
"min-4SCC","21","35","1.858","45","0","pagerankCudaL1Norm"
"min-4SCC","21","35","0.009","45","3.3528e-8","pagerankSeqL1Norm"
"min-4SCC","21","35","1.691","41","0.0000011288","pagerankCudaL2Norm"
"min-4SCC","21","35","0.008","41","0.0000011176","pagerankSeqL2Norm"
"min-4SCC","21","35","1.724","40","0.000001654","pagerankCudaLiNorm"
"min-4SCC","21","35","1.68","40","0.000001654","pagerankSeqLiNorm"
"min-NvgraphEx","6","10","1.019","24","0","pagerankNvgraph"
"min-NvgraphEx","6","10","0.995","24","0","pagerankCudaL1Norm"
"min-NvgraphEx","6","10","0.001","24","0","pagerankSeqL1Norm"
"min-NvgraphEx","6","10","0.96","23","9.4995e-7","pagerankCudaL2Norm"
"min-NvgraphEx","6","10","0.001","23","9.4995e-7","pagerankSeqL2Norm"
"min-NvgraphEx","6","10","0.99","22","0.000002481","pagerankCudaLiNorm"
"min-NvgraphEx","6","10","0.917","22","0.000002481","pagerankSeqLiNorm"
"web-Stanford","281903","2312497","17.519","63","0","pagerankNvgraph"
"web-Stanford","281903","2312497","16.971","63","0","pagerankCudaL1Norm"
"web-Stanford","281903","2312497","379.698","63","0.0000048278","pagerankSeqL1Norm"
"web-Stanford","281903","2312497","11.497","44","0.000035795","pagerankCudaL2Norm"
"web-Stanford","281903","2312497","299.247","44","0.000038869","pagerankSeqL2Norm"
"web-Stanford","281903","2312497","11.065","41","0.000061089","pagerankCudaLiNorm"
"web-Stanford","281903","2312497","11.058","41","0.000061089","pagerankSeqLiNorm"
"web-BerkStan","685230","7600595","35.564","64","0","pagerankNvgraph"
"web-BerkStan","685230","7600595","35.579","64","0","pagerankCudaL1Norm"
"web-BerkStan","685230","7600595","867.945","64","0.000023101","pagerankSeqL1Norm"
"web-BerkStan","685230","7600595","24.933","43","0.000046798","pagerankCudaL2Norm"
"web-BerkStan","685230","7600595","582.115","43","0.000057885","pagerankSeqL2Norm"
"web-BerkStan","685230","7600595","21.084","37","0.00013914","pagerankCudaLiNorm"
"web-BerkStan","685230","7600595","20.882","37","0.00013914","pagerankSeqLiNorm"
"web-Google","916428","5105039","35.687","62","0","pagerankNvgraph"
"web-Google","916428","5105039","34.647","62","0","pagerankCudaL1Norm"
"web-Google","916428","5105039","1413.888","61","0.00051357","pagerankSeqL1Norm"
"web-Google","916428","5105039","22.913","40","0.000075327","pagerankCudaL2Norm"
"web-Google","916428","5105039","924.895","40","0.00051582","pagerankSeqL2Norm"
"web-Google","916428","5105039","20.442","36","0.00015439","pagerankCudaLiNorm"
"web-Google","916428","5105039","20.422","36","0.00015439","pagerankSeqLiNorm"
"web-NotreDame","325729","1497134","11.232","58","0","pagerankNvgraph"
"web-NotreDame","325729","1497134","10.584","58","0","pagerankCudaL1Norm"
"web-NotreDame","325729","1497134","226.353","58","0.00077329","pagerankSeqL1Norm"
"web-NotreDame","325729","1497134","7.059","40","0.000096362","pagerankCudaL2Norm"
"web-NotreDame","325729","1497134","145.591","40","0.00078014","pagerankSeqL2Norm"
"web-NotreDame","325729","1497134","6.987","38","0.00014051","pagerankCudaLiNorm"
"web-NotreDame","325729","1497134","6.995","38","0.00014051","pagerankSeqLiNorm"
"soc-Slashdot0811","77360","905468","5.767","55","0","pagerankNvgraph"
"soc-Slashdot0811","77360","905468","5.699","55","0","pagerankCudaL1Norm"
"soc-Slashdot0811","77360","905468","86.727","55","1.2296e-7","pagerankSeqL1Norm"
"soc-Slashdot0811","77360","905468","3.025","29","0.00042707","pagerankCudaL2Norm"
"soc-Slashdot0811","77360","905468","45.914","29","0.00042708","pagerankSeqL2Norm"
"soc-Slashdot0811","77360","905468","2.174","20","0.0019667","pagerankCudaLiNorm"
"soc-Slashdot0811","77360","905468","2.144","20","0.0019667","pagerankSeqLiNorm"
"soc-Slashdot0902","82168","948464","5.933","56","0","pagerankNvgraph"
"soc-Slashdot0902","82168","948464","5.887","56","0","pagerankCudaL1Norm"
"soc-Slashdot0902","82168","948464","95.908","56","0.0000045094","pagerankSeqL1Norm"
"soc-Slashdot0902","82168","948464","3.077","29","0.000504","pagerankCudaL2Norm"
"soc-Slashdot0902","82168","948464","50.122","29","0.00050075","pagerankSeqL2Norm"
"soc-Slashdot0902","82168","948464","2.319","21","0.0019706","pagerankCudaLiNorm"
"soc-Slashdot0902","82168","948464","2.356","21","0.0019706","pagerankSeqLiNorm"
"soc-Epinions1","75888","508837","4.774","54","0","pagerankNvgraph"
"soc-Epinions1","75888","508837","4.75","54","0","pagerankCudaL1Norm"
"soc-Epinions1","75888","508837","83.192","54","0.000026096","pagerankSeqL1Norm"
"soc-Epinions1","75888","508837","3.056","38","0.000019525","pagerankCudaL2Norm"
"soc-Epinions1","75888","508837","53.865","38","0.000043565","pagerankSeqL2Norm"
"soc-Epinions1","75888","508837","2.793","32","0.00005452","pagerankCudaLiNorm"
"soc-Epinions1","75888","508837","2.764","32","0.00005452","pagerankSeqLiNorm"
"coAuthorsDBLP","299067","1955352","7.09","45","0","pagerankNvgraph"
"coAuthorsDBLP","299067","1955352","7.085","45","0","pagerankCudaL1Norm"
"coAuthorsDBLP","299067","1955352","224.582","45","1.5326e-8","pagerankSeqL1Norm"
"coAuthorsDBLP","299067","1955352","3.501","22","0.00047959","pagerankCudaL2Norm"
"coAuthorsDBLP","299067","1955352","110.144","22","0.00047959","pagerankSeqL2Norm"
"coAuthorsDBLP","299067","1955352","3.013","18","0.0011653","pagerankCudaLiNorm"
"coAuthorsDBLP","299067","1955352","3.049","18","0.0011653","pagerankSeqLiNorm"
"coAuthorsCiteseer","227320","1628268","6.855","48","0","pagerankNvgraph"
"coAuthorsCiteseer","227320","1628268","7.644","48","0","pagerankCudaL1Norm"
"coAuthorsCiteseer","227320","1628268","182.99","48","2.6549e-8","pagerankSeqL1Norm"
"coAuthorsCiteseer","227320","1628268","3.278","23","0.00050506","pagerankCudaL2Norm"
"coAuthorsCiteseer","227320","1628268","116.306","23","0.00050506","pagerankSeqL2Norm"
"coAuthorsCiteseer","227320","1628268","2.564","16","0.002182","pagerankCudaLiNorm"
"coAuthorsCiteseer","227320","1628268","2.424","16","0.002182","pagerankSeqLiNorm"
"soc-LiveJournal1","4847571","68993773","368.903","51","0","pagerankNvgraph"
"soc-LiveJournal1","4847571","68993773","369.105","51","0","pagerankCudaL1Norm"
"soc-LiveJournal1","4847571","68993773","11479.602","51","0.0020579","pagerankSeqL1Norm"
"soc-LiveJournal1","4847571","68993773","173.96","24","0.0004018","pagerankCudaL2Norm"
"soc-LiveJournal1","4847571","68993773","5392.164","24","0.0019889","pagerankSeqL2Norm"
"soc-LiveJournal1","4847571","68993773","123.658","17","0.0016956","pagerankCudaLiNorm"
"soc-LiveJournal1","4847571","68993773","122.914","17","0.0016956","pagerankSeqLiNorm"
"coPapersCiteseer","434102","32073440","112.292","51","0","pagerankNvgraph"
"coPapersCiteseer","434102","32073440","110.16","51","0","pagerankCudaL1Norm"
"coPapersCiteseer","434102","32073440","2189.873","51","2.8585e-7","pagerankSeqL1Norm"
"coPapersCiteseer","434102","32073440","42.848","20","0.0015958","pagerankCudaL2Norm"
"coPapersCiteseer","434102","32073440","833.257","20","0.0015957","pagerankSeqL2Norm"
"coPapersCiteseer","434102","32073440","10.802","5","0.046208","pagerankCudaLiNorm"
"coPapersCiteseer","434102","32073440","10.796","5","0.046208","pagerankSeqLiNorm"
"coPapersDBLP","540486","30491458","115.143","49","0","pagerankNvgraph"
"coPapersDBLP","540486","30491458","112.427","49","0","pagerankCudaL1Norm"
"coPapersDBLP","540486","30491458","2061.25","49","1.7198e-7","pagerankSeqL1Norm"
"coPapersDBLP","540486","30491458","43.672","19","0.0018788","pagerankCudaL2Norm"
"coPapersDBLP","540486","30491458","814.925","19","0.0018788","pagerankSeqL2Norm"
"coPapersDBLP","540486","30491458","16.235","7","0.029598","pagerankCudaLiNorm"
"coPapersDBLP","540486","30491458","16.199","7","0.029598","pagerankSeqLiNorm"
"indochina-2004","7414866","194109311","285.507","60","0","pagerankNvgraph"
"indochina-2004","7414866","194109311","284.527","60","0","pagerankCudaL1Norm"
"indochina-2004","7414866","194109311","18872.855","61","0.00078789","pagerankSeqL1Norm"
"indochina-2004","7414866","194109311","173.546","36","0.00017163","pagerankCudaL2Norm"
"indochina-2004","7414866","194109311","11052.988","36","0.00075297","pagerankSeqL2Norm"
"indochina-2004","7414866","194109311","144.718","30","0.00053004","pagerankCudaLiNorm"
"indochina-2004","7414866","194109311","144.672","30","0.00053004","pagerankSeqLiNorm"
"italy_osm","6686493","14027956","48.32","63","0","pagerankNvgraph"
"italy_osm","6686493","14027956","48.893","63","0","pagerankCudaL1Norm"
"italy_osm","6686493","14027956","4515.265","63","0","pagerankSeqL1Norm"
"italy_osm","6686493","14027956","15.691","20","0.00066253","pagerankCudaL2Norm"
"italy_osm","6686493","14027956","1461.04","20","0.00066253","pagerankSeqL2Norm"
"italy_osm","6686493","14027956","0.95","1","0.037756","pagerankCudaLiNorm"
"italy_osm","6686493","14027956","0.949","1","0.037756","pagerankSeqLiNorm"
"great-britain_osm","7733822","16313034","63.196","67","0","pagerankNvgraph"
"great-britain_osm","7733822","16313034","63.516","67","0","pagerankCudaL1Norm"
"great-britain_osm","7733822","16313034","7036.378","67","0","pagerankSeqL1Norm"
"great-britain_osm","7733822","16313034","21.893","23","0.00080939","pagerankCudaL2Norm"
"great-britain_osm","7733822","16313034","2404.244","23","0.00080939","pagerankSeqL2Norm"
"great-britain_osm","7733822","16313034","1.118","1","0.078761","pagerankCudaLiNorm"
"great-britain_osm","7733822","16313034","1.118","1","0.078761","pagerankSeqLiNorm"
"germany_osm","11548845","24738362","98.306","65","0","pagerankNvgraph"
"germany_osm","11548845","24738362","96.971","65","0","pagerankCudaL1Norm"
"germany_osm","11548845","24738362","11774.156","65","0","pagerankSeqL1Norm"
"germany_osm","11548845","24738362","31.7","21","0.00093146","pagerankCudaL2Norm"
"germany_osm","11548845","24738362","3809.484","21","0.00093146","pagerankSeqL2Norm"
"germany_osm","11548845","24738362","1.801","1","0.068314","pagerankCudaLiNorm"
"germany_osm","11548845","24738362","1.793","1","0.068314","pagerankSeqLiNorm"
"asia_osm","11950757","25423206","84.118","63","0","pagerankNvgraph"
"asia_osm","11950757","25423206","86.978","63","0","pagerankCudaL1Norm"
"asia_osm","11950757","25423206","8527.693","63","0","pagerankSeqL1Norm"
"asia_osm","11950757","25423206","25.703","19","0.00083822","pagerankCudaL2Norm"
"asia_osm","11950757","25423206","2652.823","19","0.00083822","pagerankSeqL2Norm"
"asia_osm","11950757","25423206","1.62","1","0.043444","pagerankCudaLiNorm"
"asia_osm","11950757","25423206","1.615","1","0.043444","pagerankSeqLiNorm"
