Loading graph /home/subhajit/data/min-1DeadEnd.mtx ...
order: 5 size: 6 {}
order: 5 size: 6 {} (transposeWithDegree)
[00001.581 ms; 000 iters.] [0.0000e+00 err.] pagerankNvgraph
[00000.629 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=2; limit=1]
[00000.643 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=2; limit=2]
[00000.583 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=2; limit=4]
[00000.587 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=2; limit=8]
[00000.578 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=2; limit=16]
[00000.582 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=2; limit=32]
[00000.600 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=2; limit=64]
[00000.582 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=2; limit=128]
[00000.575 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=2; limit=256]
[00000.579 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=2; limit=512]
[00000.613 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=2; limit=1024]
[00000.471 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=4; limit=1]
[00000.485 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=4; limit=2]
[00000.475 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=4; limit=4]
[00000.580 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=4; limit=8]
[00000.607 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=4; limit=16]
[00000.582 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=4; limit=32]
[00000.584 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=4; limit=64]
[00000.584 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=4; limit=128]
[00000.621 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=4; limit=256]
[00000.576 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=4; limit=512]
[00000.582 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=4; limit=1024]
[00000.482 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=8; limit=1]
[00000.481 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=8; limit=2]
[00000.566 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=8; limit=4]
[00000.604 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=8; limit=8]
[00000.613 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=8; limit=16]
[00000.590 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=8; limit=32]
[00000.618 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=8; limit=64]
[00000.579 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=8; limit=128]
[00000.598 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=8; limit=256]
[00000.600 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=8; limit=512]
[00000.608 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=8; limit=1024]
[00000.528 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=16; limit=1]
[00000.547 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=16; limit=2]
[00000.525 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=16; limit=4]
[00000.596 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=16; limit=8]
[00000.614 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=16; limit=16]
[00000.582 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=16; limit=32]
[00000.602 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=16; limit=64]
[00000.598 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=16; limit=128]
[00000.608 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=16; limit=256]
[00000.586 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=16; limit=512]
[00000.603 ms; 017 iters.] [1.3411e-07 err.] pagerankCuda [degree=16; limit=1024]
